,Ticker,Price,Chg % 1D,Chg 1D,Technical Rating 1D,Vol 1D,Volume * Price 1D,Market cap,P/E(TTM),EPS(TTM),Employees,Sector
69,EVN,3.29,−1.50%,−0.05AUD,Buy,9.508M,31.281M,4.269BUSD,18.89,0.12USD,2K,Non-Energy Minerals
70,EVT,13.60,0.89%,0.12AUD,Buy,74.621K,1.015M,1.515BUSD,41.01,0.23USD,—,Consumer Services
71,FBU,4.66,1.30%,0.06AUD,Buy,368.209K,1.716M,2.497BUSD,10.37,0.33USD,14.7K,Non-Energy Minerals
72,FLT,15.68,0.51%,0.08AUD,Buy,512.75K,8.04M,2.175BUSD,—,−0.99USD,10.257K,Consumer Services
73,FMG,22.80,−0.52%,−0.12AUD,Buy,6.805M,155.145M,49.131BUSD,8.26,1.92USD,11.693K,Non-Energy Minerals
74,FPH,21.73,−0.18%,−0.04AUD,Buy,205.199K,4.459M,8.692BUSD,57.61,0.24USD,7.375K,Health Technology
75,GMG,18.64,0.11%,0.02AUD,Buy,2.236M,41.675M,24.39BUSD,10.41,1.26USD,1.025K,Finance
76,GNC,7.52,0.67%,0.05AUD,Sell,624.402K,4.696M,1.161BUSD,4.48,1.07USD,—,Commercial Services
77,GNE,2.44,1.67%,0.04AUD,Sell,59.446K,145.048K,1.764BUSD,12.50,0.13USD,1.204K,Utilities
78,GOR,1.775,−0.56%,−0.010AUD,Buy,4.414M,7.835M,1.338BUSD,27.55,0.04USD,73,Non-Energy Minerals
79,GGO,3.17,0.32%,0.01AUD,Buy,396.912K,1.258M,1.686BUSD,5.33,0.41USD,39,Finance
80,GGP,4.42,1.14%,0.05AUD,Strong Buy,3.146M,13.906M,5.831BUSD,7.02,0.43USD,—,Finance
81,GQG,1.550,3.33%,0.050AUD,Strong Buy,647.615K,1.004M,3.085BUSD,9.94,0.10USD,—,Finance
82,HHD,1.305,0.77%,0.010AUD,Strong Buy,811.613K,1.059M,1.868BUSD,4.61,0.19USD,—,Finance
83,HLS,3.22,1.58%,0.05AUD,Buy,874.712K,2.817M,1.281BUSD,6.09,0.36USD,11K,Health Services
84,HUB,26.95,−1.64%,−0.45AUD,Buy,190.059K,5.122M,1.524BUSD,140.30,0.14USD,697,Technology Services
85,HVN,4.32,−0.23%,−0.01AUD,Buy,1.273M,5.499M,3.758BUSD,6.66,0.45USD,6.302K,Retail Trade
86,IAG,4.82,0.42%,0.02AUD,Strong Buy,3.513M,16.931M,8.191BUSD,36.01,0.10USD,—,Finance
87,IEL,30.61,1.63%,0.49AUD,Buy,696.96K,21.334M,5.836BUSD,81.87,0.25USD,4.709K,Consumer Services
88,IFL,3.61,1.69%,0.06AUD,Strong Buy,1.978M,7.139M,1.626BUSD,62.94,0.04USD,—,Finance
89,IFT,8.01,1.65%,0.13AUD,Neutral,15.674K,125.549K,3.989BUSD,14.87,0.34USD,6.137K,Utilities
90,IGO,14.66,−1.87%,−0.28AUD,Buy,2.768M,40.579M,7.879BUSD,34.31,0.30USD,—,Non-Energy Minerals
91,ILU,10.24,−2.57%,−0.27AUD,Buy,1.299M,13.297M,3.106BUSD,7.43,0.98USD,3.252K,Non-Energy Minerals
92,IIN,4.54,−1.09%,−0.05AUD,Buy,462.778K,2.101M,1.303BUSD,17.48,0.18USD,—,Finance
93,IPH,8.49,1.56%,0.13AUD,Sell,522.479K,4.436M,1.308BUSD,34.85,0.17USD,900,Commercial Services
94,IPL,3.81,0.26%,0.01AUD,Buy,6.597M,25.134M,5.141BUSD,7.30,0.33USD,5K,Process Industries
95,IRE,9.78,0.62%,0.06AUD,Buy,129.87K,1.27M,1.232BUSD,29.07,0.23USD,2.224K,Technology Services
96,IVC,11.21,−0.09%,−0.01AUD,Buy,167.666K,1.88M,1.117BUSD,82.50,0.09USD,1.9K,Consumer Services
97,JBH,45.54,0.02%,0.01AUD,Buy,406.094K,18.494M,3.468BUSD,9.54,3.31USD,—,Retail Trade
98,JDO,1.500,3.09%,0.045AUD,Strong Buy,1.296M,1.944M,1.12BUSD,—,−0.00USD,465,Finance
99,JHX,29.60,2.42%,0.70AUD,Buy,1.136M,33.626M,8.976BUSD,17.62,1.05USD,—,Non-Energy Minerals
100,JLG,5.99,0.67%,0.04AUD,Sell,443.676K,2.658M,1.083BUSD,57.77,0.07USD,8.5K,Industrial Services
101,LIC,19.70,−1.99%,−0.40AUD,Buy,122.683K,2.417M,1.461BUSD,23.63,0.59USD,120,Finance
102,LLC,8.34,0.48%,0.04AUD,Buy,3.088M,25.755M,3.95BUSD,—,−0.10USD,—,Industrial Services
103,LOV,26.16,2.79%,0.71AUD,Strong Buy,221.245K,5.788M,1.912BUSD,47.06,0.37USD,—,Retail Trade
104,LSF,2.86,0.00%,0.00AUD,Buy,293.007K,838K,—,—,—,—,Miscellaneous
105,LTR,1.560,−0.32%,−0.005AUD,Neutral,8.755M,13.657M,2.394BUSD,73.13,0.01USD,—,Non-Energy Minerals
106,LYC,8.57,−0.35%,−0.03AUD,Buy,2.651M,22.719M,5.422BUSD,14.41,0.41USD,—,Non-Energy Minerals
107,MCY,5.10,−2.30%,−0.12AUD,Strong Sell,5.897K,30.075K,5.049BUSD,16.78,0.21USD,1.335K,Utilities
108,MEZ,4.78,1.92%,0.09AUD,Neutral,249.488K,1.193M,8.513BUSD,20.11,0.16USD,1.007K,Utilities
109,MFG,9.38,2.63%,0.24AUD,Buy,1.353M,12.694M,1.148BUSD,4.40,1.43USD,135,Finance
110,MGF,1.405,0.00%,0.000AUD,Sell,1.484M,2.085M,—,—,—,—,Miscellaneous
111,MMG,2.22,0.91%,0.02AUD,Strong Buy,6.175M,13.709M,6.045BUSD,9.57,0.16USD,1.55K,Finance
112,MIN,88.49,−0.68%,−0.61AUD,Buy,711.441K,62.955M,11.746BUSD,48.00,1.28USD,3.863K,Non-Energy Minerals
113,MPL,2.91,0.34%,0.01AUD,Sell,6.744M,19.626M,5.563BUSD,20.28,0.10USD,3.291K,Finance
114,MQG,178.27,0.72%,1.27AUD,Strong Buy,616.195K,109.849M,45.725BUSD,13.93,8.40USD,18.133K,Finance
115,MTS,4.00,−1.23%,−0.05AUD,Sell,2.147M,8.59M,2.724BUSD,16.14,0.16USD,8K,Distribution Services
116,MXT,1.950,−0.26%,−0.005AUD,Neutral,596.101K,1.162M,1.2BUSD,22.37,0.06USD,—,Miscellaneous
117,NAB,31.30,1.62%,0.50AUD,Strong Buy,4.925M,154.139M,67.486BUSD,14.98,1.37USD,35.558K,Finance
118,NCM,22.63,0.31%,0.07AUD,Buy,3.453M,78.141M,14.005BUSD,15.82,0.99USD,—,Non-Energy Minerals
119,NEC,1.920,0.52%,0.010AUD,Neutral,2.32M,4.455M,2.267BUSD,10.98,0.12USD,—,Consumer Services
120,NHC,6.22,5.07%,0.30AUD,Strong Buy,4.855M,30.195M,3.638BUSD,5.59,0.83USD,—,Energy Minerals
121,NHF,7.70,0.39%,0.03AUD,Buy,507.306K,3.906M,2.573BUSD,25.90,0.20USD,—,Finance
122,NIC,1.110,0.45%,0.005AUD,Buy,4.013M,4.455M,2.102BUSD,12.51,0.06USD,—,Non-Energy Minerals
123,NNS,2.31,−0.86%,−0.02AUD,Sell,1.439M,3.324M,1.948BUSD,4.48,0.36USD,—,Finance
124,NST,12.08,0.67%,0.08AUD,Strong Buy,5.916M,71.467M,9.611BUSD,32.63,0.25USD,3.383K,Non-Energy Minerals
125,NUF,6.11,0.66%,0.04AUD,Buy,928.88K,5.675M,1.608BUSD,23.25,0.17USD,2.8K,Process Industries
126,NWL,13.18,0.61%,0.08AUD,Strong Buy,264.351K,3.484M,2.226BUSD,57.51,0.16USD,—,Finance
127,NXT,9.41,0.75%,0.07AUD,Buy,848.919K,7.988M,2.976BUSD,467.00,0.01USD,283,Technology Services
128,ORA,2.95,0.68%,0.02AUD,Neutral,1.285M,3.79M,1.696BUSD,13.63,0.15USD,4.8K,Process Industries
129,ORG,7.63,0.66%,0.05AUD,Buy,4.792M,36.563M,9.064BUSD,—,−0.56USD,5K,Utilities
130,ORI,14.98,0.54%,0.08AUD,Neutral,495.993K,7.43M,4.714BUSD,40.43,0.24USD,12K,Process Industries
131,OZL,27.91,−0.14%,−0.04AUD,Buy,5.636M,157.305M,6.52BUSD,25.13,0.77USD,4.733K,Non-Energy Minerals
132,PDL,5.180US,1.17%,0.060USD,Strong Buy,8.281M,42.897M,1.295BUSD,25.80,0.20USD,—,Finance
133,PDN,0.780,1.30%,0.010AUD,Buy,9.484M,7.398M,1.598BUSD,—,−0.01USD,—,Non-Energy Minerals
134,PLS,3.99,−4.09%,−0.17AUD,Neutral,22.013M,87.83M,8.687BUSD,22.51,0.13USD,—,Non-Energy Minerals
135,PME,58.96,1.10%,0.64AUD,Buy,139.349K,8.216M,4.244BUSD,137.22,0.29USD,—,Health Services
136,PMV,25.70,1.50%,0.38AUD,Strong Buy,171.473K,4.407M,2.808BUSD,14.21,1.26USD,—,Retail Trade
137,PNI,10.41,0.19%,0.02AUD,Buy,649.86K,6.765M,1.369BUSD,26.29,0.28USD,—,Finance
138,PNV,2.54,0.40%,0.01AUD,Buy,2.541M,6.454M,1.213BUSD,—,−0.00USD,152,Health Technology
139,PRU,2.34,0.43%,0.01AUD,Buy,4.38M,10.25M,2.219BUSD,12.65,0.13USD,—,Non-Energy Minerals
140,PPS,5.00,−1.19%,−0.06AUD,Buy,242.529K,1.213M,1.248BUSD,64.46,0.06USD,—,Finance
141,PXA,12.25,0.41%,0.05AUD,Sell,888.996K,10.89M,1.507BUSD,99.03,0.09USD,—,Technology Services
142,QAN,6.47,0.78%,0.05AUD,Buy,5.523M,35.733M,8.111BUSD,—,−0.31USD,26.5K,Transportation
143,QBE,13.03,0.77%,0.10AUD,Buy,3.126M,40.733M,13.372BUSD,34.10,0.26USD,11.651K,Finance
144,QUB,2.91,1.39%,0.04AUD,Strong Buy,4.068M,11.838M,3.53BUSD,45.99,0.04USD,—,Transportation
145,REA,120.05,3.55%,4.12AUD,Buy,202.561K,24.317M,10.669BUSD,39.80,2.01USD,3.103K,Technology Services
146,REH,15.48,3.41%,0.51AUD,Strong Buy,531.256K,8.224M,6.736BUSD,24.64,0.42USD,9K,Distribution Services
147,RRG,2.67,0.38%,0.01AUD,Sell,2.257M,6.027M,2.099BUSD,6.08,0.30USD,—,Finance
148,RHC,66.99,0.33%,0.22AUD,Buy,242.49K,16.244M,10.594BUSD,57.52,0.80USD,86K,Health Services
149,RIO,122.29,0.93%,1.13AUD,Strong Buy,1.209M,147.896M,127.186BUSD,8.09,10.40USD,49.345K,Non-Energy Minerals
150,RMD,30.99,−0.23%,−0.07AUD,Sell,956.21K,29.633M,31.348BUSD,41.30,0.48USD,8.16K,Health Technology
151,RRL,2.25,−0.44%,−0.01AUD,Buy,7.417M,16.687M,1.189BUSD,124.86,0.01USD,—,Non-Energy Minerals
152,RWC,3.41,2.71%,0.09AUD,Buy,1.911M,6.517M,1.811BUSD,13.79,0.17USD,—,Producer Manufacturing
153,S32,4.60,1.10%,0.05AUD,Buy,20.242M,93.112M,14.454BUSD,5.77,0.55USD,9.096K,Non-Energy Minerals
154,SCG,3.01,1.35%,0.04AUD,Strong Buy,9.194M,27.674M,10.725BUSD,15.98,0.13USD,2.78K,Finance
155,SDF,5.35,0.00%,0.00AUD,Neutral,1.954M,10.456M,3.856BUSD,29.97,0.13USD,—,Finance
156,SEK,23.20,3.94%,0.88AUD,Strong Buy,942.491K,21.866M,5.5BUSD,46.93,0.33USD,—,Technology Services
157,SFR,6.20,−1.12%,−0.07AUD,Buy,2.612M,16.196M,1.996BUSD,16.47,0.26USD,—,Non-Energy Minerals
158,SGM,14.72,0.07%,0.01AUD,Buy,483.135K,7.112M,1.974BUSD,4.98,2.09USD,4.071K,Non-Energy Minerals
159,SGP,3.76,0.53%,0.02AUD,Buy,4.056M,15.25M,6.21BUSD,6.48,0.40USD,1.8K,Finance
160,SGR,1.930,3.49%,0.065AUD,Sell,7.557M,14.585M,1.23BUSD,—,−0.15USD,682,Consumer Services
161,SHL,30.71,−0.16%,−0.05AUD,Neutral,966.245K,29.673M,10.304BUSD,10.17,2.11USD,41K,Health Services
162,SKC,2.40,0.42%,0.01AUD,Neutral,626.165K,1.503M,1.273BUSD,—,−0.03USD,3.923K,Consumer Services
163,SSM,3.27,3.15%,0.10AUD,Buy,1.079M,3.529M,1.99BUSD,5.89,0.37USD,—,Energy Minerals
164,SNZ,8.35,−3.24%,−0.28AUD,Sell,6,50,1.35BUSD,5.30,1.13USD,1.368K,Health Services
165,SOL,28.15,0.90%,0.25AUD,Strong Buy,328.915K,9.259M,7.015BUSD,—,−0.08USD,—,Energy Minerals
166,SPK,4.88,1.04%,0.05AUD,Neutral,642.458K,3.135M,6.285BUSD,24.39,0.14USD,5.144K,Communications
167,SQ2,103.01,−0.33%,−0.34AUD,Buy,126.664K,13.048M,42.942BUSD,—,−0.82USD,8.521K,Technology Services
168,STO,7.30,2.38%,0.17AUD,Buy,11.193M,81.707M,16.42BUSD,10.71,0.46USD,3.786K,Energy Minerals
169,SUL,11.46,−0.17%,−0.02AUD,Buy,472.928K,5.42M,1.806BUSD,10.85,0.74USD,14.883K,Distribution Services
170,SUN,11.75,0.69%,0.08AUD,Neutral,3.115M,36.605M,10.276BUSD,22.74,0.37USD,13K,Finance
171,SVW,22.57,1.03%,0.23AUD,Strong Buy,253.059K,5.712M,5.647BUSD,14.65,1.06USD,6.175K,Distribution Services
172,SYA,0.230,0.00%,0.000AUD,Buy,14.194M,3.265M,1.392BUSD,25.56,0.01USD,—,Process Industries
173,TAH,1.110,0.91%,0.010AUD,Buy,8.541M,9.48M,1.747BUSD,—,—,—,Consumer Services
174,TCL,13.48,1.13%,0.15AUD,Buy,4.452M,60.019M,28.553BUSD,3029.55,0.00USD,9K,Transportation
175,TTL,4.84,1.26%,0.06AUD,Buy,4.632M,22.419M,7.411BUSD,—,—,—,Consumer Services
176,TLS,4.02,0.25%,0.01AUD,Buy,15.916M,63.982M,32.219BUSD,27.94,0.10USD,28.889K,Communications
177,TLX,6.36,0.32%,0.02AUD,Sell,897.324K,5.707M,1.397BUSD,—,−0.28USD,158,Health Technology
178,TNE,13.51,1.20%,0.16AUD,Buy,456.737K,6.171M,3.018BUSD,48.76,0.18USD,—,Technology Services
179,TPG,4.87,−0.41%,−0.02AUD,Sell,966.164K,4.705M,6.333BUSD,45.28,0.07USD,5K,Communications
180,TWE,13.89,2.13%,0.29AUD,Strong Buy,2.408M,33.451M,6.838BUSD,37.47,0.25USD,2.5K,Consumer Non-Durables
181,VVC,2.05,0.49%,0.01AUD,Buy,5.066M,10.386M,6.469BUSD,7.66,0.18USD,—,Finance
182,VEA,2.69,0.37%,0.01AUD,Buy,1.644M,4.422M,2.886BUSD,6.70,0.28USD,1.447K,Energy Minerals
183,VNT,2.44,0.00%,0.00AUD,Sell,703.68K,1.717M,1.454BUSD,24.65,0.07USD,—,Finance
184,VUK,3.47,0.87%,0.03AUD,Buy,1.738M,6.03M,3.266BUSD,5.95,0.37USD,7.586K,Finance
185,WAM,1.615,1.57%,0.025AUD,Neutral,875.595K,1.414M,1.212BUSD,—,−0.22USD,—,Finance
186,WBC,23.76,1.11%,0.26AUD,Strong Buy,5.121M,121.678M,57.371BUSD,15.42,1.02USD,37.476K,Finance
187,WDS,36.70,1.24%,0.45AUD,Strong Buy,5.215M,191.372M,47.894BUSD,8.36,3.03USD,3.684K,Energy Minerals
188,WEB,6.74,2.28%,0.15AUD,Strong Buy,1.767M,11.91M,1.755BUSD,—,−0.03USD,—,Consumer Services
189,WES,48.15,0.69%,0.33AUD,Strong Buy,1.236M,59.512M,37.791BUSD,23.04,1.43USD,120K,Retail Trade
190,WHC,8.76,0.46%,0.04AUD,Sell,7.585M,66.442M,5.479BUSD,4.47,1.36USD,—,Energy Minerals
191,WLE,1.500,1.01%,0.015AUD,Buy,577.704K,866.556K,1.136BUSD,22.03,0.05USD,—,Miscellaneous
192,WOR,15.42,1.51%,0.23AUD,Strong Buy,1.577M,24.314M,5.565BUSD,46.55,0.23USD,51K,Industrial Services
193,WOW,33.84,−1.14%,−0.39AUD,Sell,1.479M,50.056M,28.884BUSD,27.08,0.87USD,198K,Retail Trade
194,WPR,2.72,−1.45%,−0.04AUD,Sell,1.689M,4.594M,1.292BUSD,5.02,0.38USD,—,Finance
195,WTC,51.91,1.37%,0.70AUD,Buy,339.29K,17.613M,11.595BUSD,85.81,0.41USD,2K,Technology Services
196,XRO,71.07,0.62%,0.44AUD,Sell,393.681K,27.979M,7.382BUSD,—,−0.08USD,4.784K,Technology Services
197,YAL,6.20,1.64%,0.10AUD,Buy,1.5M,9.3M,5.611BUSD,3.04,1.39USD,3.196K,Energy Minerals
198,ZIM,27.40,0.18%,0.05AUD,Buy,2.664K,72.994K,2.051BUSD,6.03,3.13USD,—,Non-Energy Minerals
