,Ticker,Price,Chg % 1D,Chg 1D,Technical Rating 1D,Vol 1D,Volume * Price 1D,Market cap,P/E(TTM),EPS(TTM),Employees,Sector
20,ARG,9.54 ,0.32%,0.03 AUD,Buy,199.056K,1.899M,4.97B USD,22.02,0.29 USD,—,Miscellaneous
21,ASX,70.02 ,1.11%,0.77 AUD,Buy,412.113K,28.856M,9.405B USD,26.36,1.81 USD,790,Finance
22,AUB,24.99 ,−0.48%,−0.12 AUD,Buy,106.198K,2.654M,1.775B USD,24.05,0.72 USD,—,Finance
23,AWC,1.550 ,0.00%,0.000 AUD,Sell,4.538M,7.034M,3.151B USD,11.54,0.09 USD,—,Non-Energy Minerals
24,AZJ,3.26 ,−2.40%,−0.08 AUD,Strong Sell,18.099M,59.003M,4.435B USD,18.08,0.13 USD,4.917K,Transportation
25,BAP,6.21 ,0.65%,0.04 AUD,Sell,882.89K,5.483M,1.437B USD,16.71,0.26 USD,5K,Distribution Services
26,BEN,9.61 ,−3.51%,−0.35 AUD,Sell,3.874M,37.231M,3.914B USD,12.83,0.61 USD,4.652K,Finance
27,BFL,4.80 ,0.21%,0.01 AUD,Buy,4.718K,22.646K,1.518B USD,5.59,0.59 USD,772,Finance
28,BHP,47.94 ,0.46%,0.22 AUD,Neutral,6.687M,320.58M,169.38B USD,7.70,4.28 USD,—,Non-Energy Minerals
29,BKL,83.34 ,−4.39%,−3.83 AUD,Neutral,49.767K,4.148M,1.171B USD,55.62,1.09 USD,1.2K,Health Technology
30,BKW,24.20 ,0.37%,0.09 AUD,Buy,94.593K,2.289M,2.527B USD,4.30,3.97 USD,2.1K,Non-Energy Minerals
31,BLD,3.74 ,1.36%,0.05 AUD,Buy,1.774M,6.636M,2.751B USD,—,−0.08 USD,9.149K,Non-Energy Minerals
32,BOQ,7.02 ,−2.23%,−0.16 AUD,Sell,3.8M,26.674M,3.258B USD,12.36,0.45 USD,3.04K,Finance
33,BPT,1.505 ,−2.59%,−0.040 AUD,Strong Sell,15.31M,23.041M,2.411B USD,7.13,0.15 USD,—,Energy Minerals
34,BRG,20.40 ,−1.35%,−0.28 AUD,Sell,646.935K,13.197M,2.164B USD,27.42,0.52 USD,—,Consumer Durables
35,BSL,19.35 ,1.15%,0.22 AUD,Buy,1.595M,30.868M,6.093B USD,3.37,3.94 USD,6.7K,Producer Manufacturing
36,BBW,3.89 ,0.26%,0.01 AUD,Sell,664.789K,2.586M,1.741B USD,9.98,0.26 USD,—,Finance
37,BXB,11.99 ,0.76%,0.09 AUD,Buy,4.071M,48.811M,11.545B USD,20.67,0.40 USD,12K,Transportation
38,CAR,22.81 ,−0.61%,−0.14 AUD,Buy,1.125M,25.654M,5.566B USD,15.33,1.02 USD,1.7K,Technology Services
39,CBA,103.00 ,−5.72%,−6.25 AUD,Strong Sell,7.122M,733.606M,128.734B USD,18.41,4.31 USD,49.245K,Finance
40,CEN,7.00 ,−0.85%,−0.06 AUD,Sell,1,7,3.879B USD,148.61,0.03 USD,1.082K,Utilities
41,CGF,7.49 ,−1.19%,−0.09 AUD,Buy,2.102M,15.747M,3.451B USD,58.22,0.09 USD,770,Finance
42,CCH,14.52 ,0.21%,0.03 AUD,Buy,2.397M,34.809M,4.811B USD,7.59,1.34 USD,—,Finance
43,CHN,6.15 ,−1.44%,−0.09 AUD,Sell,1.28M,7.869M,1.665B USD,—,−0.03 USD,—,Non-Energy Minerals
44,CIA,7.31 ,1.53%,0.11 AUD,Neutral,1.359M,9.933M,2.569B USD,15.09,0.33 USD,—,Non-Energy Minerals
45,CCI,3.39 ,0.59%,0.02 AUD,Buy,722.746K,2.45M,1.486B USD,155.30,0.01 USD,—,Finance
46,CCL,4.59 ,−0.22%,−0.01 AUD,Neutral,1.589M,7.293M,2.308B USD,—,0.44 USD,—,Finance
47,CCM,3.99 ,−3.39%,−0.14 AUD,Sell,535.117K,2.135M,1.055B USD,17.27,0.17 USD,—,Non-Energy Minerals
48,CCM,0.710 ,−0.70%,−0.005 AUD,Sell,1.89M,1.342M,1.299B USD,7.14,0.07 USD,440,Finance
49,CNU,7.85 ,−0.88%,−0.07 AUD,Buy,599.281K,4.704M,2.401B USD,78.77,0.09 USD,799,Communications
50,COH,225.28 ,7.75%,16.20 AUD,Strong Buy,253.937K,57.207M,9.639B USD,47.57,3.03 USD,4.5K,Health Technology
51,COL,18.06 ,0.17%,0.03 AUD,Buy,3.968M,71.666M,16.802B USD,22.93,0.54 USD,120K,Retail Trade
52,CPU,23.60 ,−4.03%,−0.99 AUD,Strong Sell,3.435M,81.055M,10.434B USD,47.32,0.36 USD,14.12K,Technology Services
53,CCQ,4.05 ,0.25%,0.01 AUD,Buy,856.73K,3.47M,1.636B USD,3.52,0.79 USD,—,Finance
54,CRN,2.16 ,2.37%,0.05 AUD,Strong Buy,4.468M,9.65M,2.366B USD,2.76,0.49 USD,—,Energy Minerals
55,CSL,304.91 ,−0.92%,−2.84 AUD,Buy,842.88K,257.003M,102.749B USD,48.16,4.42 USD,30K,Health Technology
56,CSR,5.10 ,0.79%,0.04 AUD,Neutral,2.512M,12.811M,1.683B USD,11.29,0.29 USD,2.573K,Producer Manufacturing
57,CTD,15.75 ,−8.70%,−1.50 AUD,Strong Sell,2.594M,40.858M,1.729B USD,969.10,0.01 USD,2.99K,Commercial Services
58,CWY,2.69 ,0.75%,0.02 AUD,Sell,11.041M,29.702M,4.152B USD,69.90,0.03 USD,6.6K,Industrial Services
59,CXO,0.970 ,−3.96%,−0.040 AUD,Strong Sell,18.561M,18.004M,1.309B USD,—,−0.00 USD,—,Non-Energy Minerals
60,DDR,8.55 ,−2.06%,−0.18 AUD,Sell,247.924K,2.12M,1.096B USD,19.91,0.30 USD,694,Retail Trade
61,DEG,1.370 ,−3.52%,−0.050 AUD,Sell,1.796M,2.461M,1.549B USD,—,−0.01 USD,—,Non-Energy Minerals
62,DHG,3.06 ,−0.97%,−0.03 AUD,Sell,1.656M,5.066M,1.293B USD,52.73,0.04 USD,1.125K,Technology Services
63,DMP,69.47 ,−0.87%,−0.61 AUD,Sell,251.638K,17.481M,4.432B USD,38.32,1.27 USD,743,Consumer Services
64,DOW,3.97 ,1.28%,0.05 AUD,Buy,3.155M,12.524M,1.85B USD,18.53,0.15 USD,33K,Industrial Services
65,DRR,4.84 ,0.00%,0.00 AUD,Neutral,932.989K,4.516M,1.776B USD,14.34,0.23 USD,8,Miscellaneous
66,DDX,8.59 ,1.06%,0.09 AUD,Buy,6.914M,59.389M,6.236B USD,11.19,0.53 USD,647,Finance
67,EBO,39.79 ,−2.16%,−0.88 AUD,Sell,8.897K,354.012K,5.252B USD,36.73,0.76 USD,3K,Health Technology
68,EDV,7.01 ,−1.13%,−0.08 AUD,Buy,11.568M,81.095M,8.883B USD,23.17,0.21 USD,28K,Retail Trade
69,EVN,3.03 ,−2.88%,−0.09 AUD,Sell,7.417M,22.472M,4B USD,17.65,0.12 USD,2K,Non-Energy Minerals
70,EVT,14.07 ,1.96%,0.27 AUD,Strong Buy,81.332K,1.144M,1.554B USD,41.98,0.23 USD,—,Consumer Services
71,FBU,4.59 ,0.66%,0.03 AUD,Sell,1.056M,4.845M,2.544B USD,—,0.28 USD,14.7K,Non-Energy Minerals
72,FLT,18.29 ,0.16%,0.03 AUD,Buy,1.341M,24.521M,2.71B USD,—,−0.99 USD,10.257K,Consumer Services
73,FMG,22.00 ,−0.81%,−0.18 AUD,Neutral,8.885M,195.477M,47.596B USD,7.99,1.92 USD,11.693K,Non-Energy Minerals
74,FPH,23.35 ,0.00%,0.00 AUD,Buy,465.598K,10.872M,9.263B USD,59.55,0.24 USD,7.375K,Health Technology
75,GMG,19.81 ,−0.40%,−0.08 AUD,Buy,2.321M,45.979M,26.129B USD,11.12,1.26 USD,1.025K,Finance
76,GNC,7.38 ,−0.40%,−0.03 AUD,Sell,533.362K,3.936M,1.121B USD,4.45,1.07 USD,—,Commercial Services
77,GNE,2.60 ,1.17%,0.03 AUD,Buy,3.955K,10.283K,1.919B USD,13.35,0.13 USD,1.204K,Utilities
78,GOR,1.490 ,−1.00%,−0.015 AUD,Sell,2.464M,3.672M,1.131B USD,23.23,0.04 USD,73,Non-Energy Minerals
79,GGO,3.26 ,0.00%,0.00 AUD,Sell,451.691K,1.473M,1.744B USD,5.50,0.41 USD,39,Finance
80,GGP,4.60 ,0.00%,0.00 AUD,Buy,3.507M,16.13M,6.062B USD,7.39,0.43 USD,—,Finance
81,GQG,1.505 ,1.69%,0.025 AUD,Neutral,209.171K,314.802K,3.022B USD,9.81,0.10 USD,—,Finance
82,HHD,1.300 ,0.00%,0.000 AUD,Sell,1.722M,2.239M,1.852B USD,4.63,0.19 USD,—,Finance
83,HLS,2.82 ,2.92%,0.08 AUD,Sell,7.979M,22.5M,1.078B USD,—,—,11K,Health Services
84,HUB,26.00 ,0.35%,0.09 AUD,Neutral,354.698K,9.222M,1.424B USD,132.67,0.14 USD,697,Technology Services
85,HVN,4.10 ,−0.24%,−0.01 AUD,Sell,4.069M,16.684M,3.534B USD,6.32,0.45 USD,6.302K,Retail Trade
86,IAG,4.83 ,0.21%,0.01 AUD,Buy,9.511M,45.937M,8.42B USD,19.82,0.18 USD,—,Finance
87,IEL,31.07 ,−0.96%,−0.30 AUD,Buy,428.76K,13.322M,5.995B USD,85.27,0.25 USD,4.709K,Consumer Services
88,IFL,3.51 ,0.86%,0.03 AUD,Buy,970.429K,3.406M,1.576B USD,61.70,0.04 USD,—,Finance
89,IFT,7.92 ,−1.61%,−0.13 AUD,Sell,4.319K,34.206K,4.081B USD,14.64,0.34 USD,6.137K,Utilities
90,IGO,14.12 ,−2.01%,−0.29 AUD,Sell,2.771M,39.126M,7.675B USD,13.17,0.75 USD,—,Non-Energy Minerals
91,ILU,10.91 ,−0.09%,−0.01 AUD,Buy,613.955K,6.698M,3.237B USD,7.72,0.98 USD,3.252K,Non-Energy Minerals
92,IIN,4.53 ,−1.09%,−0.05 AUD,Sell,340.334K,1.542M,1.298B USD,17.44,0.18 USD,—,Finance
93,IPH,8.38 ,0.96%,0.08 AUD,Sell,324.634K,2.72M,1.289B USD,34.60,0.17 USD,900,Commercial Services
94,IPL,3.50 ,1.74%,0.06 AUD,Sell,7.913M,27.695M,4.735B USD,6.61,0.33 USD,5K,Process Industries
95,IRE,8.84 ,−1.12%,−0.10 AUD,Sell,554.229K,4.899M,1.136B USD,26.73,0.23 USD,2.224K,Technology Services
96,IVC,10.99 ,0.92%,0.10 AUD,Sell,148.393K,1.631M,1.082B USD,80.07,0.09 USD,1.9K,Consumer Services
97,JBH,44.83 ,0.02%,0.01 AUD,Neutral,691.985K,31.022M,3.38B USD,8.48,3.61 USD,—,Retail Trade
98,JDO,1.470 ,−0.68%,−0.010 AUD,Buy,1.859M,2.733M,1.128B USD,—,−0.00 USD,465,Finance
99,JHX,31.00 ,1.97%,0.60 AUD,Sell,2.217M,68.717M,9.889B USD,—,—,—,Non-Energy Minerals
100,JLG,5.68 ,−2.07%,−0.12 AUD,Sell,1.006M,5.715M,1.051B USD,56.31,0.07 USD,8.5K,Industrial Services
101,LIC,16.40 ,−2.90%,−0.49 AUD,Strong Sell,770.185K,12.631M,1.287B USD,20.38,0.57 USD,120,Finance
102,LLC,7.89 ,0.51%,0.04 AUD,Sell,2.652M,20.923M,3.718B USD,223.65,0.02 USD,—,Industrial Services
103,LOV,23.79 ,−0.59%,−0.14 AUD,Sell,201.532K,4.794M,1.796B USD,44.25,0.37 USD,—,Retail Trade
104,LSF,2.83 ,−0.70%,−0.02 AUD,Neutral,343.33K,971.624K,—,12.29,0.16 USD,—,Miscellaneous
105,LTR,1.345 ,−2.54%,−0.035 AUD,Strong Sell,10.508M,14.133M,2.119B USD,64.49,0.01 USD,—,Non-Energy Minerals
106,LYC,8.16 ,−2.39%,−0.20 AUD,Strong Sell,4.465M,36.436M,5.286B USD,14.00,0.41 USD,—,Non-Energy Minerals
107,MCY,5.81 ,0.00%,0.00 AUD,Buy,11.933K,69.331K,5.557B USD,18.62,0.21 USD,1.335K,Utilities
108,MEZ,5.04 ,2.86%,0.14 AUD,Strong Buy,41.032K,206.801K,8.714B USD,20.95,0.16 USD,1.007K,Utilities
109,MFG,9.45 ,7.14%,0.63 AUD,Buy,2.381M,22.497M,1.093B USD,4.24,1.43 USD,135,Finance
110,MGF,1.450 ,−0.68%,−0.010 AUD,Buy,964.749K,1.399M,1.478B USD,—,−0.78 USD,—,Miscellaneous
111,MMG,2.21 ,−0.45%,−0.01 AUD,Sell,25.942M,57.333M,6.09B USD,15.74,0.10 USD,1.55K,Finance
112,MIN,86.65 ,−0.44%,−0.38 AUD,Sell,679.11K,58.845M,12.031B USD,46.88,1.28 USD,3.863K,Non-Energy Minerals
113,MPL,3.10 ,1.31%,0.04 AUD,Buy,6.314M,19.572M,5.964B USD,21.40,0.10 USD,3.291K,Finance
114,MQG,190.90 ,−0.40%,−0.76 AUD,Buy,513.019K,97.935M,49.655B USD,15.09,8.40 USD,18.133K,Finance
115,MTS,4.04 ,−0.98%,−0.04 AUD,Strong Sell,5.562M,22.469M,2.725B USD,16.25,0.16 USD,8K,Distribution Services
116,MXT,1.975 ,−0.50%,−0.010 AUD,Buy,1.198M,2.365M,1.219B USD,22.71,0.06 USD,—,Miscellaneous
117,NAB,30.31 ,−4.11%,−1.30 AUD,Strong Sell,7.393M,224.07M,68.708B USD,15.38,1.37 USD,35.558K,Finance
118,NCM,24.31 ,−1.78%,−0.44 AUD,Buy,4.864M,118.25M,15.408B USD,17.35,0.99 USD,—,Non-Energy Minerals
119,NEC,2.11 ,0.00%,0.00 AUD,Buy,1.744M,3.679M,2.5B USD,12.13,0.12 USD,—,Consumer Services
120,NHC,5.73 ,5.91%,0.32 AUD,Sell,6.566M,37.623M,3.328B USD,5.10,0.83 USD,—,Energy Minerals
121,NHF,7.98 ,1.01%,0.08 AUD,Strong Buy,551.61K,4.402M,2.692B USD,26.68,0.20 USD,—,Finance
122,NIC,1.045 ,−0.95%,−0.010 AUD,Sell,5.819M,6.081M,2.204B USD,11.95,0.06 USD,—,Non-Energy Minerals
123,NNS,2.32 ,0.00%,0.00 AUD,Sell,2.496M,5.792M,1.937B USD,4.46,0.36 USD,—,Finance
124,NST,11.73 ,−2.41%,−0.29 AUD,Sell,3.995M,46.867M,9.655B USD,32.68,0.25 USD,3.383K,Non-Energy Minerals
125,NUF,5.74 ,0.88%,0.05 AUD,Sell,589.849K,3.386M,1.507B USD,21.79,0.17 USD,2.8K,Process Industries
126,NWL,13.64 ,2.71%,0.36 AUD,Strong Buy,608.738K,8.303M,2.23B USD,58.30,0.16 USD,—,Finance
127,NXT,10.06 ,0.60%,0.06 AUD,Buy,906.55K,9.12M,3.173B USD,500.00,0.01 USD,283,Technology Services
128,ORA,2.90 ,−0.34%,−0.01 AUD,Sell,2.315M,6.714M,1.683B USD,13.53,0.15 USD,4.8K,Process Industries
129,ORG,7.11 ,0.71%,0.05 AUD,Neutral,3.767M,26.784M,8.431B USD,—,−0.56 USD,5K,Utilities
130,ORI,15.81 ,−0.13%,−0.02 AUD,Buy,1.393M,22.028M,4.956B USD,42.96,0.24 USD,12K,Process Industries
131,OZL,27.95 ,0.07%,0.02 AUD,Buy,1.437M,40.162M,6.532B USD,25.11,0.77 USD,4.733K,Non-Energy Minerals
132,PDN,0.790 ,3.27%,0.025 AUD,Buy,12.846M,10.148M,1.582B USD,—,−0.01 USD,—,Non-Energy Minerals
133,PLS,4.72 ,−2.68%,−0.13 AUD,Neutral,14.132M,66.703M,10.158B USD,26.24,0.13 USD,—,Non-Energy Minerals
134,PME,65.47 ,0.65%,0.42 AUD,Buy,359.486K,23.536M,4.788B USD,153.06,0.29 USD,—,Health Services
135,PMV,26.65 ,0.34%,0.09 AUD,Buy,198.702K,5.295M,2.898B USD,14.91,1.26 USD,—,Retail Trade
136,PNI,9.64 ,−0.52%,−0.05 AUD,Neutral,213.551K,2.059M,1.247B USD,28.45,0.24 USD,—,Finance
137,PNV,2.26 ,−0.44%,−0.01 AUD,Neutral,850.186K,1.921M,1.091B USD,—,−0.00 USD,152,Health Technology
138,PRU,1.915 ,−1.79%,−0.035 AUD,Sell,3.138M,6.01M,1.825B USD,10.59,0.13 USD,—,Non-Energy Minerals
139,PPS,4.75 ,0.00%,0.00 AUD,Sell,60.367K,286.743K,1.188B USD,60.51,0.06 USD,—,Finance
140,PXA,13.18 ,1.07%,0.14 AUD,Buy,627.913K,8.276M,1.617B USD,105.84,0.09 USD,—,Technology Services
141,QAN,6.47 ,0.31%,0.02 AUD,Neutral,4.319M,27.944M,8.249B USD,—,−0.31 USD,26.5K,Transportation
142,QBE,13.27 ,−0.15%,−0.02 AUD,Sell,3.33M,44.186M,13.899B USD,35.05,0.26 USD,11.651K,Finance
143,QUB,3.02 ,−0.33%,−0.01 AUD,Buy,2.764M,8.348M,3.737B USD,48.56,0.04 USD,—,Transportation
144,REA,122.58 ,0.34%,0.41 AUD,Buy,184.391K,22.603M,10.996B USD,44.21,1.88 USD,3.103K,Technology Services
145,REH,16.84 ,2.18%,0.36 AUD,Buy,343.109K,5.778M,7.437B USD,27.12,0.42 USD,9K,Distribution Services
146,RRG,2.54 ,0.79%,0.02 AUD,Sell,1.943M,4.935M,2.047B USD,—,−0.02 USD,—,Finance
147,RHC,64.09 ,0.39%,0.25 AUD,Sell,291.346K,18.672M,10.112B USD,55.00,0.80 USD,86K,Health Services
148,RIO,123.33 ,1.51%,1.83 AUD,Buy,1.019M,125.711M,122.601B USD,8.11,10.40 USD,49.345K,Non-Energy Minerals
149,RMD,31.02 ,0.94%,0.29 AUD,Sell,1.118M,34.679M,31.714B USD,38.61,0.54 USD,8.16K,Health Technology
150,RRL,1.955 ,−3.22%,−0.065 AUD,Sell,1.802M,3.522M,1.06B USD,111.60,0.01 USD,—,Non-Energy Minerals
151,RWC,3.49 ,2.95%,0.10 AUD,Buy,7.232M,25.238M,1.915B USD,14.08,0.17 USD,—,Producer Manufacturing
152,S32,4.62 ,−0.43%,−0.02 AUD,Buy,13.954M,64.469M,14.591B USD,5.89,0.55 USD,9.096K,Non-Energy Minerals
153,SCG,2.98 ,0.34%,0.01 AUD,Neutral,10.911M,32.513M,10.648B USD,15.98,0.13 USD,2.78K,Finance
154,SDF,5.49 ,1.48%,0.08 AUD,Strong Buy,2.549M,13.997M,3.903B USD,30.31,0.13 USD,—,Finance
155,SEK,24.55 ,0.74%,0.18 AUD,Buy,575.198K,14.121M,5.961B USD,51.24,0.33 USD,—,Technology Services
156,SFR,6.25 ,−0.79%,−0.05 AUD,Neutral,1.249M,7.806M,1.985B USD,16.54,0.26 USD,—,Non-Energy Minerals
157,SGM,15.77 ,0.32%,0.05 AUD,Buy,1.602M,25.263M,1.975B USD,7.06,1.55 USD,4.071K,Non-Energy Minerals
158,SGP,3.84 ,−1.54%,−0.06 AUD,Sell,10.196M,39.153M,6.494B USD,6.75,0.40 USD,1.8K,Finance
159,SGR,1.470 ,14.40%,0.185 AUD,Sell,37.831M,55.611M,981.894M USD,—,−0.15 USD,682,Consumer Services
160,SHL,29.06 ,1.32%,0.38 AUD,Sell,1.656M,48.114M,9.509B USD,9.48,2.11 USD,41K,Health Services
161,SKC,2.35 ,5.38%,0.12 AUD,Buy,738.421K,1.735M,1.218B USD,—,−0.03 USD,3.923K,Consumer Services
162,SSM,3.83 ,7.28%,0.26 AUD,Buy,3.003M,11.501M,2.248B USD,6.64,0.37 USD,—,Energy Minerals
163,SNZ,8.31 ,−4.70%,−0.41 AUD,Strong Sell,268,2.227K,1.426B USD,5.34,1.13 USD,1.368K,Health Services
164,SOL,28.92 ,1.26%,0.36 AUD,Strong Buy,221.677K,6.411M,7.177B USD,—,−0.08 USD,—,Energy Minerals
165,SPK,4.80 ,−0.41%,−0.02 AUD,Sell,838.133K,4.023M,6.217B USD,24.26,0.14 USD,5.144K,Communications
166,SQ2,111.76 ,0.13%,0.14 AUD,Buy,82.234K,9.19M,47.128B USD,—,−0.82 USD,8.521K,Technology Services
167,STO,7.06 ,−0.70%,−0.05 AUD,Sell,5.234M,36.95M,16.328B USD,10.68,0.46 USD,3.786K,Energy Minerals
168,SUL,11.97 ,0.34%,0.04 AUD,Buy,700.765K,8.388M,1.86B USD,11.27,0.74 USD,14.883K,Distribution Services
169,SUN,12.60 ,−0.40%,−0.05 AUD,Buy,5.825M,73.393M,11.489B USD,19.40,0.46 USD,13K,Finance
170,SVW,23.60 ,1.33%,0.31 AUD,Strong Buy,843.787K,19.913M,5.965B USD,15.27,1.06 USD,6.175K,Distribution Services
171,SYA,0.215 ,−6.52%,−0.015 AUD,Strong Sell,43.646M,9.384M,1.487B USD,25.56,0.01 USD,—,Process Industries
172,TAH,1.040 ,0.97%,0.010 AUD,Neutral,2.091M,2.174M,1.592B USD,—,—,—,Consumer Services
173,TCL,13.93 ,−0.14%,−0.02 AUD,Buy,4.447M,61.947M,29.989B USD,262.71,0.04 USD,9K,Transportation
174,TTL,5.02 ,0.60%,0.03 AUD,Buy,3.756M,18.855M,7.619B USD,—,—,—,Consumer Services
175,TLS,4.14 ,0.00%,0.00 AUD,Buy,22.383M,92.667M,33.037B USD,28.85,0.10 USD,28.889K,Communications
176,TLX,6.06 ,−2.57%,−0.16 AUD,Sell,732.601K,4.44M,1.371B USD,—,−0.28 USD,158,Health Technology
177,TNE,14.50 ,0.76%,0.11 AUD,Buy,345.086K,5.004M,3.219B USD,52.56,0.18 USD,—,Technology Services
178,TPG,4.75 ,1.28%,0.06 AUD,Sell,923.7K,4.388M,6.014B USD,43.43,0.07 USD,5K,Communications
179,TWE,13.34 ,−6.91%,−0.99 AUD,Sell,9.234M,123.188M,7.156B USD,39.48,0.25 USD,2.5K,Consumer Non-Durables
180,VVC,2.05 ,1.99%,0.04 AUD,Buy,14.335M,29.387M,6.344B USD,7.55,0.18 USD,—,Finance
181,VEA,2.98 ,2.41%,0.07 AUD,Buy,1.279M,3.811M,3.165B USD,7.28,0.28 USD,1.447K,Energy Minerals
182,VNT,2.46 ,1.23%,0.03 AUD,Buy,1.048M,2.578M,1.47B USD,24.55,0.07 USD,—,Finance
183,VUK,3.15 ,−0.32%,−0.01 AUD,Sell,3.526M,11.107M,3.05B USD,5.47,0.37 USD,7.586K,Finance
184,WAM,1.685 ,0.30%,0.005 AUD,Buy,777.984K,1.311M,1.28B USD,—,−0.22 USD,—,Finance
185,WBC,22.83 ,−4.32%,−1.03 AUD,Sell,16.023M,365.812M,58.026B USD,15.66,1.02 USD,37.476K,Finance
186,WDS,35.35 ,−2.43%,−0.88 AUD,Sell,5.239M,185.186M,48.522B USD,8.35,3.03 USD,3.684K,Energy Minerals
187,WEB,6.75 ,−0.74%,−0.05 AUD,Neutral,1.147M,7.739M,1.816B USD,—,−0.03 USD,—,Consumer Services
188,WES,49.35 ,1.33%,0.65 AUD,Buy,3.853M,190.165M,38.685B USD,23.46,1.43 USD,120K,Retail Trade
189,WHC,8.19 ,3.54%,0.28 AUD,Sell,9.197M,75.323M,4.926B USD,4.05,1.36 USD,—,Energy Minerals
190,WLE,1.570 ,−1.26%,−0.020 AUD,Buy,437.558K,686.966K,1.209B USD,23.59,0.05 USD,—,Miscellaneous
191,WOR,15.46 ,1.58%,0.24 AUD,Strong Buy,1.113M,17.201M,5.563B USD,46.64,0.23 USD,51K,Industrial Services
192,WOW,35.98 ,−0.83%,−0.30 AUD,Buy,1.381M,49.673M,30.516B USD,28.70,0.87 USD,198K,Retail Trade
193,WPR,2.70 ,0.00%,0.00 AUD,Sell,710.922K,1.919M,1.272B USD,4.91,0.38 USD,—,Finance
194,WTC,56.81 ,0.58%,0.33 AUD,Buy,321.531K,18.266M,12.504B USD,94.64,0.41 USD,2K,Technology Services
195,XRO,79.14 ,0.76%,0.60 AUD,Buy,526.431K,41.662M,8.06B USD,—,−0.08 USD,4.784K,Technology Services
196,YAL,5.77 ,2.30%,0.13 AUD,Sell,2.522M,14.551M,5.221B USD,2.81,1.39 USD,3.196K,Energy Minerals
197,ZIM,30.44 ,−0.69%,−0.21 AUD,Buy,7.955K,242.15K,2.27B USD,6.76,3.13 USD,8.937K,Non-Energy Minerals
